name,subvis,year,journal,title,url
40-nyt-17-taxbill,1,2017,NYT,"Among the Tax Bill’s Biggest Losers: High-Income, Blue State Taxpayers",https://www.nytimes.com/interactive/2017/12/05/us/politics/tax-bill-salt.html
41-nyt-17-alabama,6,2017,NYT,Alabama Election Results: Doug Jones Defeats Roy Moore in U.S. Senate Race,https://www.nytimes.com/elections/results/alabama-senate-special-election-roy-moore-doug-jones
42-nyt-17-taxbillcalc,1,2017,NYT,Tax Bill Calculator: Will Your Taxes Go Up or Down?,https://www.nytimes.com/interactive/2017/12/17/upshot/tax-calculator.html
43-nyt-17-cabinet,2,2017,NYT,Trump’s Cabinet So Far Is More White and Male Than Any First Cabinet Since Reagan’s,https://www.nytimes.com/interactive/2017/01/13/us/politics/trump-cabinet-women-minorities.html
44-nyt-17-hottest,4,2017,NYT,How 2016 Became Earth’s Hottest Year on Record,https://www.nytimes.com/interactive/2017/01/18/science/earth/2016-hottest-year-on-record.html
45-nyt-17-billoreilly,1,2017,NYT,Bill O’Reilly’s Show Lost More Than Half Its Advertisers in a Week,https://www.nytimes.com/interactive/2017/04/11/business/oreilly-advertisers.html
46-nyt-17-drugdeath,4,2017,NYT,Drug Deaths in America Are Rising Faster Than Ever,https://www.nytimes.com/interactive/2017/06/05/upshot/opioid-epidemic-drug-overdose-deaths-are-rising-faster-than-ever.html
47-nyt-17-rescue,2,2017,NYT,"Efforts to Rescue Migrants Caused Deadly, Unexpected Consequences",https://www.nytimes.com/interactive/2017/06/14/world/europe/migrant-rescue-efforts-deadly.html
48-nyt-17-subway,3,2017,NYT,Every New York City Subway Line Is Getting Worse. Here’s Why.,https://www.nytimes.com/interactive/2017/06/28/nyregion/subway-delays-overcrowding.html
49-nyt-17-northkorea,3,2017,NYT,"If Americans Can Find North Korea on a Map, They’re More Likely to Prefer Diplomacy - A",https://www.nytimes.com/interactive/2017/05/14/upshot/if-americans-can-find-north-korea-on-a-map-theyre-more-likely-to-prefer-diplomacy.html
50-nyt-17-summer,2,2017,NYT,It’s Not Your Imagination. Summers Are Getting Hotter.,https://www.nytimes.com/interactive/2017/07/28/climate/more-frequent-extreme-summer-heat.html
51-nyt-17-subwayrun,4,2017,NYT,New York’s Subways Are Not Just Delayed. Some Trains Don’t Run at All.,https://www.nytimes.com/interactive/2017/08/07/nyregion/new-yorks-subways-are-not-just-delayed-some-trains-dont-run-at-all.html
52-nyt-17-underrepresent,4,2017,NYT,"Even With Affirmative Action, Blacks and Hispanics Are More Underrepresented at Top Colleges Than 35 Years Ago",https://www.nytimes.com/interactive/2017/08/24/us/affirmative-action.html
53-nyt-17-taxplan,4,2017,NYT,Six Charts That Help Explain the Republican Tax Plan,https://www.nytimes.com/interactive/2017/09/27/us/politics/six-charts-to-explain-the-republican-tax-plan.html
54-nyt-17-massshooting,1,2017,NYT,What Explains U.S. Mass Shootings? International Comparisons Suggest an Answer,https://www.nytimes.com/2017/11/07/world/americas/mass-shootings-us-international.html
112-wsj-17-bombing,1,2017,WSJ,A Year of Suicide Bombings,https://www.wsj.com/graphics/a-year-of-suicide-bombings/
113-wsj-17-immigration,2,2017,WSJ,Coming to America,http://www.wsj.com/graphics/coming-to-america/
114-wsj-17-mindgap,3,2017,WSJ,Mind the Gap: The U.K.-EU Trade Challenge,https://www.wsj.com/graphics/uk-eu-trade/
115-wsj-17-franceclass,8,2017,WSJ,France’s New Political Class,https://www.wsj.com/graphics/french-assembly-2017/
